company_name,linkedin_url
Microsoft,https://www.linkedin.com/company/microsoft/
Apple,https://www.linkedin.com/company/apple/
Google,https://www.linkedin.com/company/google/
Amazon,https://www.linkedin.com/company/amazon/
Meta,https://www.linkedin.com/company/meta/
Tesla,https://www.linkedin.com/company/tesla-motors/
Netflix,https://www.linkedin.com/company/netflix/
Adobe,https://www.linkedin.com/company/adobe/
IBM,https://www.linkedin.com/company/ibm/
Intel,https://www.linkedin.com/company/intel-corporation/
